,names,scores,pvals,pvals_adj
5817,CLIC3,-0.800255,0.4235630766,1
5818,COTL1,-0.8067808,0.4197927641,1
5819,RGS2,-0.821666,0.4112670303,1
5820,GJC1,-0.82216316,0.4109840312,1
5821,MYO1B,-0.8320141,0.4054009871,1
5822,EDNRA,-0.8416475,0.3999853001,1
5823,DUSP2,-0.85544497,0.3923048476,1
5824,SELL,-0.8692425,0.3847145131,1
5825,PRF1,-0.88304,0.3772146672,1
5826,LDB3,-0.8968375,0.3698056417,1
5827,ARHGEF17,-0.9321703,0.3512485356,1
5828,IL2RB,-0.93823,0.3481262316,1
5829,ENPP1,-0.9520275,0.3410830427,1
5830,SYNPO2,-0.95432705,0.3399181102,1
5831,DARC,-0.9800265,0.3270730547,1
5832,PAG1,-0.99342,0.3205053263,1
5833,NEB,-1.0072175,0.3138302725,1
5834,GPC3,-1.0297161,0.3031432906,1
5835,ANO1,-1.0348125,0.3007564914,1
5836,FGFBP2,-1.0348125,0.3007564914,1
5837,CA3,-1.04861,0.2943576588,1
5838,COL5A3,-1.04861,0.2943576588,1
5839,F3,-1.04861,0.2943576588,1
5840,MRVI1,-1.0559438,0.2909938961,1
5841,SORBS2,-1.0587095,0.2897320976,1
5842,CPM,-1.0755523,0.2821274857,1
5843,PTN,-1.076205,0.2818355914,1
5844,KLRF1,-1.0859627,0.277495506,1
5845,PLN,-1.0900025,0.2757120501,1
5846,GPM6B,-1.0951921,0.2734324931,1
5847,GZMM,-1.1175975,0.2637389442,1
5848,DTX3,-1.1222277,0.2617656272,1
5849,MIR145,-1.1237814,0.2611057326,1
5850,HBA2,-1.1240612,0.2609870738,1
5851,KCNE4,-1.1240922,0.2609738918,1
5852,PLEKHA2,-1.1620665,0.2452084733,1
5853,CRLF1,-1.1727874,0.2408810392,1
5854,DAAM2,-1.186585,0.2353913625,1
5855,LTB,-1.2078406,0.2271085852,1
5856,MNDA,-1.21418,0.2246790031,1
5857,CTSS,-1.2526824,0.2103212903,1
5858,CD3D,-1.2555724,0.2092710139,1
5859,RERGL,-1.2636832,0.206343767,1
5860,MYH11,-1.2680026,0.2047970003,1
5861,CTGF,-1.3266732,0.1846168396,1
5862,FCGR3A,-1.3383574,0.1807799327,1
5863,KLRD1,-1.352155,0.1763257423,1
5864,GZMB,-1.3619127,0.1732254469,1
5865,GUCY1B3,-1.3935475,0.163454298,1
5866,GJA4,-1.4195266,0.1557455606,1
5867,CMC1,-1.4208939,0.1553476139,1
5868,KLHL23,-1.43494,0.1513042022,1
5869,CD7,-1.462535,0.1435946666,1
5870,PGF,-1.4682218,0.1420439885,1
5871,CDC42SE1,-1.4720751,0.1410005876,1
5872,CST7,-1.4763324,0.1398546595,1
5873,PLOD1,-1.4809316,0.1386247896,1
5874,SLPI,-1.5042694,0.1325120386,1
5875,GFPT2,-1.517725,0.1290837448,1
5876,SELENBP1,-1.5232564,0.1276945688,1
5877,AGTR1,-1.5315225,0.1256403157,1
5878,DEFB1,-1.54532,0.1222688858,1
5879,CD69,-1.54532,0.1222688858,1
5880,ITGA7,-1.5591174,0.118968578,1
5881,GNLY,-1.5625669,0.1181545103,1
5882,GUCY1A2,-1.5640584,0.1178038371,1
5883,C1orf162,-1.5888878,0.1120857356,1
5884,CTSW,-1.5937666,0.1109883203,1
5885,KCNJ8,-1.60051,0.1094854957,1
5886,CCL3,-1.6143075,0.1064607494,1
5887,HOPX,-1.621486,0.1049134705,1
5888,G0S2,-1.6419024,0.1006102168,1
5889,LCP1,-1.6529964,0.09833159404,1
5890,TESC,-1.7301257,0.08360782344,1
5891,PLAC8,-1.7768321,0.07559587218,1
5892,C1orf56,-1.8126621,0.06988395759,1
5893,ABCA10,-1.82127,0.06856582856,1
5894,KLRB1,-1.8350675,0.0664956928,1
5895,ITGB2,-1.8626624,0.06250976897,1
5896,ISYNA1,-1.9075354,0.05645128866,1
5897,CCL5,-1.9178525,0.0551297203,1
5898,AMD1,-1.9316189,0.0534065619,1
5899,PTPRCAP,-1.9602083,0.04997144768,1
5900,GZMA,-2.0674808,0.03868887506,1
5901,NKG7,-2.0797555,0.03754795864,1
5902,CCL2,-2.0851007,0.03706017501,1
5903,ABCA9,-2.124815,0.03360205538,1
5904,TYROBP,-2.124815,0.03360205538,1
5905,CCL4,-2.1339512,0.03284677978,1
5906,STEAP4,-2.1386125,0.03246706693,1
5907,ABCC9,-2.1488364,0.03164737951,1
5908,LBH,-2.1496754,0.03158090534,1
5909,CYGB,-2.198495,0.02791386046,1
5910,CILP,-2.2075999,0.02727217148,1
5911,EPS8,-2.2995212,0.02147536392,1
5912,CD52,-2.3021936,0.02132425469,1
5913,CORO1A,-2.3593724,0.01830587196,1
5914,HCST,-2.3648417,0.01803777694,1
5915,MBP,-2.3869674,0.01698799465,1
5916,FCER1G,-2.3869674,0.01698799465,1
5917,PRG4,-2.3959482,0.01657742978,1
5918,SCN7A,-2.4525056,0.0141865176,1
5919,ANGPTL1,-2.467142,0.01361962876,1
5920,LINC01133,-2.4697526,0.01352065755,1
5921,PLA2G2A,-2.4952343,0.01258739735,1
5922,HIGD1B,-2.5415368,0.01103663424,1
5923,DPT,-2.5525374,0.01069414086,1
5924,FAM162B,-2.566335,0.01027795227,1
5925,ASPN,-2.603439,0.00922936769,1
5926,CD248,-2.731905,0.006296930283,1
5927,SCARA5,-2.8008924,0.00509614989,1
5928,PCOLCE2,-2.8907626,0.003843082359,1
5929,EFEMP1,-2.9907634,0.002782809634,1
5930,SFRP4,-3.0889308,0.0020087822,1
5931,VCAN,-3.14583,0.00165616267,1
5932,THBS4,-3.14583,0.00165616267,1
5933,NR2F2,-3.2157807,0.001300901606,1
5934,COX4I2,-3.263171,0.001101730791,1
5935,HTRA3,-3.3039417,0.0009533560749,1
5936,IGF1,-3.338995,0.00084082093,1
5937,TNXB,-3.459723,0.0005407311821,1
5938,PI16,-3.47697,0.0005071146553,1
5939,CFH,-3.5448387,0.0003928533688,0.7857067376
5940,MYOC,-3.6563375,0.0002558445226,0.5116890452
5941,ACKR3,-3.7044113,0.0002118823433,0.4237646866
5942,TPM2,-3.9858305,6.72E-05,0.1344890427
5943,GSN,-3.9898703,6.61E-05,0.1322188985
5944,ACTA2,-4.042823,5.28E-05,0.105623058
5945,SMOC2,-4.056465,4.98E-05,0.0996420746
5946,ADH1B,-4.1245823,3.71E-05,0.07428162628
